,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,7905532,7905532.0,7905532.0,7905532.0,61387.0,1117306.0,40249.0,2335259.0,2284556.0,4198756.0,1527754.0,1362272.0,2069477.0,6782862.0,7088693.0,7043168.0,40489.0,7905532.0,7905532.0,7905532.0
unique,212,,,,,,,,,,,,,,,,,,,
top,48_141_0044,,,,,,,,,,,,,,,,,,,
freq,41604,,,,,,,,,,,,,,,,,,,
mean,,30.664257049560547,-97.26576232910156,1498401794.5429606,165.7487030029297,61.92603302001953,1.245739459991455,5.973027229309082,7.547854423522949,30.363658905029297,8.70252513885498,0.9205208420753479,0.7457854747772217,72.81543731689453,157.5369110107422,6.8250627517700195,61.36639404296875,8.686603760505934,15.33309586249224,6.317322856956369
std,,1.934048056602478,2.7644317150115967,8514877.022735082,62.857757568359375,23.93010139465332,5.137063026428223,7.869565010070801,14.46615219116211,16.127893447875977,10.347238540649414,7.579432487487793,8.161349296569824,13.709613800048828,87.48490142822266,4.383478164672852,13.119025230407715,8.87338291796933,8.780133917537468,3.2442716518097674
min,,25.89251708984375,-106.54730224609375,1483228800.0,-1000.0,0.0,-1.4071300029754639,-31.513099670410156,-30.23889923095703,-353.6570129394531,-15.0,-43.7765998840332,-9.09000015258789,-99.5,0.0,0.0,10.020000457763672,0.0,1.0,1.0
25%,,29.589445114135742,-97.88818359375,1491180300.0,129.48599243164062,45.56999969482422,-0.017170000821352005,1.3677899837493896,1.5177299976348877,20.097000122070312,4.700399875640869,0.0,0.0,65.5,107.0,3.7200000286102295,54.880001068115234,2.0,8.0,4.0
50%,,29.961944580078125,-97.10832977294922,1498447200.0,156.8509979248047,65.81999969482422,0.2602199912071228,3.2693099975585938,3.5153000354766846,29.954700469970703,7.480000019073486,0.23654000461101532,0.0,74.69999694824219,148.85000610351562,6.179999828338623,65.31999969482422,4.0,15.0,6.0
75%,,32.48181915283203,-95.28409576416016,1505791800.0,190.82150268554688,80.71700286865234,0.8468800187110901,7.353720188140869,7.949790000915527,40.240299224853516,10.930299758911133,0.5738199949264526,0.1234000027179718,81.95999908447266,188.88999938964844,9.199999809265137,71.79000091552734,21.0,23.0,9.0
max,,35.67620086669922,-93.72589874267578,1513148100.0,1000.0,1000.0,137.07400512695312,446.5069885253906,691.9840087890625,298.45001220703125,999.6820068359375,409.739990234375,181.23800659179688,1000.0,360.0,1000.0,78.36000061035156,23.0,31.0,12.0
