,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,44040,44040.0,44040.0,44040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44040.0,44040.0,44040.0,44040.0,44040.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,44040,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.6863956451416,-95.29470825195312,1088673205.4223433,,,,,,,,,,,,,,,,8.7,183.00272479564032,15.716621253405995,6.498637602179836,2004.0
std,,0.0,0.0,9153262.345599193,,,,,,,,,,,,,,,,8.877600438754351,105.93988995930295,8.83317668822375,3.4585316841147926,0.0
min,,29.686389923095703,-95.29472351074219,1072915200.0,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,2004.0
25%,,29.686389923095703,-95.29472351074219,1080768525.0,,,,,,,,,,,,,,,,2.0,91.0,8.0,3.0,2004.0
50%,,29.686389923095703,-95.29472351074219,1088657850.0,,,,,,,,,,,,,,,,4.5,183.0,16.0,7.0,2004.0
75%,,29.686389923095703,-95.29472351074219,1096597575.0,,,,,,,,,,,,,,,,21.0,275.0,23.0,10.0,2004.0
max,,29.686389923095703,-95.29472351074219,1104537300.0,,,,,,,,,,,,,,,,23.0,366.0,31.0,12.0,2004.0
