,AQS_Code,Latitude,Longitude,epoch,co,humid,o3,temp,winddir,windspd,wind_x_dir,wind_y_dir,hour,day_of_year
3800455,48_201_0695,29.7176,-95.3414,1491338400,140.286,24.544,54.32,83.45200000000001,145.0,17.266,-14.143479196693733,9.903370750037158,20,94
3800456,48_201_0695,29.7176,-95.3414,1491338700,142.41899999999995,26.430999999999997,54.48,83.368,147.0,14.555,-12.206850116445644,7.927221154643723,20,94
3800457,48_201_0695,29.7176,-95.3414,1491339000,154.464,26.064,53.306999999999995,84.04899999999998,139.0,11.352,-8.567463154688909,7.447582097100239,20,94
3800458,48_201_0695,29.7176,-95.3414,1491339300,136.281,25.599,55.681000000000004,83.445,131.0,16.602,-10.891891999300402,12.529688450858464,20,94
3800459,48_201_0695,29.7176,-95.3414,1491339600,,27.750999999999998,56.37,82.978,159.0,15.556,-14.52277711459047,5.5747718231266905,21,94
3800460,48_201_0695,29.7176,-95.3414,1491339900,,29.432,54.992,83.177,139.0,11.681,-8.815762606582199,7.663425517638115,21,94
0,48_201_0695,29.7176,-95.3414,1009843200,,,,,,,,,0,1
1,48_201_0695,29.7176,-95.3414,1009843500,,,,,,,,,0,1
2,48_201_0695,29.7176,-95.3414,1009843800,,,,,,,,,0,1
3,48_201_0695,29.7176,-95.3414,1009844100,,,,,,,,,0,1
4,48_201_0695,29.7176,-95.3414,1009844400,,,,,,,,,0,1
5,48_201_0695,29.7176,-95.3414,1009844700,,,,,,,,,0,1
